CustomerID,Age,Gender,Tenure,MonthlyCharges,NumProducts,HasInternetService,HasSupportPlan,ContractType,PaymentMethod,SatisfactionScore,NumComplaints,TotalCharges,Churn
1001,56.0,Female,51,25.16,3,1,0,Month-to-Month,Credit Card,3.0,0.0,1221.3918486663774,0
1002,69.0,Male,5,86.99,2,1,0,Month-to-Month,Electronic Check,3.0,2.0,407.9892992096877,0
1003,46.0,Male,29,24.42,3,1,1,Month-to-Month,Mailed Check,4.0,1.0,723.9076085268385,0
1004,32.0,Female,4,78.83,2,1,0,Two Year,Credit Card,3.0,2.0,322.2522947355901,1
1005,60.0,Male,10,119.94,3,1,1,Month-to-Month,Credit Card,2.0,1.0,1199.4,1
1006,25.0,Male,56,75.58,1,0,1,Two Year,Mailed Check,2.0,2.0,4238.780025952203,1
1007,38.0,Female,17,67.32,4,1,1,One Year,Bank Transfer,4.0,1.0,1125.914995124617,0
1008,56.0,Male,17,51.29,3,1,0,Month-to-Month,Bank Transfer,1.0,1.0,791.7423972166835,0
1009,36.0,Male,69,32.05,2,1,1,Month-to-Month,Credit Card,5.0,1.0,2191.6080889627674,0
1010,40.0,Male,34,93.1,1,0,1,Month-to-Month,Electronic Check,1.0,3.0,3188.837489215764,0
1011,28.0,Female,6,39.26,2,1,1,Month-to-Month,Bank Transfer,2.0,2.0,228.71325056952978,1
1012,28.0,Female,53,31.53,1,1,1,One Year,Electronic Check,5.0,0.0,1690.6644186565252,0
1013,41.0,Female,66,62.18,1,1,1,Month-to-Month,Bank Transfer,3.0,1.0,4074.5408485245257,0
1014,53.0,Male,43,99.53,2,1,0,Month-to-Month,Bank Transfer,3.0,0.0,4329.506803993896,0
1015,57.0,Male,23,94.51,2,1,1,Month-to-Month,Electronic Check,4.0,0.0,2045.9141066264333,0
1016,41.0,Female,55,25.49,3,1,1,Two Year,Mailed Check,4.0,0.0,1409.0220256461675,0
1017,20.0,Male,16,65.51,4,1,1,One Year,Bank Transfer,3.0,4.0,1115.604017356064,0
1018,39.0,Male,8,72.24,2,0,1,One Year,Bank Transfer,2.0,0.0,652.8049258020731,0
1019,19.0,Female,4,84.45,2,1,0,Month-to-Month,Electronic Check,5.0,0.0,326.20869153787623,1
1020,41.0,Female,4,85.02,1,0,1,One Year,Mailed Check,4.0,0.0,273.7700922178558,0
1021,61.0,Male,56,56.47,3,1,0,One Year,Bank Transfer,3.0,2.0,3230.6436421171675,0
1022,47.0,Male,25,76.07,2,1,0,One Year,Bank Transfer,3.0,1.0,1899.1567416597218,0
1023,55.0,Male,67,68.11,4,1,0,Two Year,Mailed Check,2.0,1.0,4555.421523036506,0
1024,19.0,Female,67,108.5,3,1,0,Month-to-Month,Bank Transfer,2.0,2.0,7224.857267956114,1
1025,38.0,Female,27,73.03,2,0,1,Two Year,Mailed Check,3.0,1.0,1909.3156259570871,0
1026,50.0,Female,32,64.1,1,0,0,Two Year,Mailed Check,4.0,4.0,2079.3931584462175,0
